gender,orientation,gender_orientation,age,ethnicity,country,education_phase,religion_type,religion_seriosity,man_with_100,woman_with_100
Woman,Straight,Hetero_female,34,White,TX,Graduated from,Christianity,NA,No,No
Man,Straight,Hetero_male,49,White,MA,Graduated from,Other,and somewhat serious about it,No,No
Man,Straight,Hetero_male,38,Indian,CA,Working on,Atheism,NA,No,No
Woman,Straight,Hetero_female,26,White,IA,NA,-,NA,Yes,Yes
Man,Gay,Gay_male,51,White,CA,Graduated from,Other,and laughing about it,No,No
Man,Straight,Hetero_male,33,White,OR,Graduated from,Atheism,and very serious about it,No,No
Man,Bisexual,Bisexual_male,25,White,IL,Working on,Atheism,and laughing about it,No,No
Man,Straight,Hetero_male,45,White,VA,Working on,Christianity,but not too serious about it,No,No
Man,Straight,Hetero_male,24,White,NV,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,42,White,LA,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,33,White,MN,Working on,Christianity,and very serious about it,No,No
Woman,Bisexual,Bisexual_female,35,Black,PA,NA,-,NA,No,No
Man,Straight,Hetero_male,30,White,NC,Dropped out of,Other,and laughing about it,Yes,Yes
Woman,Straight,Hetero_female,28,White,MD,NA,Agnosticism,but not too serious about it,No,No
Man,Gay,Gay_male,28,White,MI,Graduated from,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,34,White,WI,Working on,Agnosticism,but not too serious about it,No,No
Woman,Bisexual,Bisexual_female,35,White,Ontario,NA,Agnosticism,but not too serious about it,No,No
Man,Gay,Gay_male,24,White,ME,Graduated from,-,NA,Yes,Yes
Man,Straight,Hetero_male,32,White,UK,Graduated from,Atheism,and very serious about it,No,No
Woman,Straight,Hetero_female,31,White,MD,Graduated from,Atheism,and laughing about it,No,No
Woman,Straight,Hetero_female,43,White,IN,Graduated from,Christianity,and very serious about it,No,No
Man,Gay,Gay_male,45,White,CA,NA,Christianity,but not too serious about it,No,No
Man,Gay,Gay_male,47,"Hispanic / Latin, White",DC,Graduated from,Catholicism,and laughing about it,No,Yes
Man,Straight,Hetero_male,36,Black,NY,Working on,Atheism,and laughing about it,No,No
Man,Gay,Gay_male,26,NA,IL,NA,-,NA,No,No
Man,Gay,Gay_male,29,White,MD,Graduated from,Agnosticism,NA,No,No
Woman,Straight,Hetero_female,28,White,CA,NA,Agnosticism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,38,White,RI,Graduated from,Agnosticism,NA,No,No
Man,Straight,Hetero_male,41,White,CA,Working on,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,26,White,MA,Graduated from,-,NA,No,No
Man,Bisexual,Bisexual_male,40,White,WI,Graduated from,Atheism,and laughing about it,No,No
Woman,Straight,Hetero_female,27,"Black, White",TX,Working on,Other,NA,No,No
Man,Straight,Hetero_male,35,Asian,OH,Graduated from,Agnosticism,but not too serious about it,No,No
Woman,Bisexual,Bisexual_female,44,White,FL,NA,Atheism,and somewhat serious about it,No,No
Man,Straight,Hetero_male,27,White,OH,Working on,Other,and very serious about it,No,No
Man,Straight,Hetero_male,44,White,CA,Graduated from,Other,but not too serious about it,No,No
Man,Gay,Gay_male,40,White,CA,Dropped out of,Atheism,and laughing about it,No,No
Man,Gay,Gay_male,39,"White, Other",OH,Graduated from,Atheism,and somewhat serious about it,No,No
Woman,Straight,Hetero_female,31,White,NE,Graduated from,Atheism,and very serious about it,No,No
Man,Straight,Hetero_male,34,White,NY,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,37,White,UK,Graduated from,Atheism,and laughing about it,No,No
Woman,Straight,Hetero_female,34,"Native American, White",WI,Working on,Other,NA,No,No
Woman,Bisexual,Bisexual_female,22,Other,CO,NA,-,NA,No,No
Man,Straight,Hetero_male,36,White,Slovenia,Graduated from,Other,and laughing about it,No,No
Man,Straight,Hetero_male,47,White,NJ,Graduated from,Catholicism,but not too serious about it,No,No
Woman,Bisexual,Bisexual_female,25,Black,RI,Graduated from,Other,and laughing about it,No,No
Man,Straight,Hetero_male,39,White,CO,Graduated from,Catholicism,but not too serious about it,No,No
Man,Straight,Hetero_male,35,White,IA,Graduated from,Christianity,and somewhat serious about it,No,No
Man,Straight,Hetero_male,31,White,PA,Graduated from,-,NA,No,No
Woman,Gay,Gay_female,28,White,NM,Working on,Agnosticism,but not too serious about it,No,No
Man,Straight,Hetero_male,34,Indian,OH,Working on,Atheism,NA,No,No
Man,Straight,Hetero_male,34,White,IL,Graduated from,Catholicism,but not too serious about it,No,No
Woman,Straight,Hetero_female,34,White,NJ,Graduated from,Atheism,and laughing about it,No,No
Woman,Bisexual,Bisexual_female,23,"Native American, Hispanic / Latin",Spain,Working on,Agnosticism,NA,No,No
Man,Bisexual,Bisexual_male,24,White,Australia,Graduated from,Atheism,but not too serious about it,No,No
Man,Straight,Hetero_male,35,Asian,Quebec,Graduated from,-,NA,No,No
Woman,Straight,Hetero_female,32,White,OK,Graduated from,Christianity,and somewhat serious about it,No,No
Man,Straight,Hetero_male,31,White,UK,Dropped out of,Atheism,and laughing about it,Yes,Yes
Man,Straight,Hetero_male,42,Indian,CA,NA,-,NA,No,Yes
Woman,Straight,Hetero_female,34,White,NY,Graduated from,Atheism,NA,No,No
Man,Gay,Gay_male,36,White,NV,NA,Other,NA,No,No
Man,Gay,Gay_male,44,"Hispanic / Latin, White",MA,Working on,Other,and laughing about it,No,No
Man,Straight,Hetero_male,46,White,NM,NA,-,NA,No,No
Man,Straight,Hetero_male,30,White,Ontario,NA,-,NA,No,No
Man,Gay,Gay_male,26,White,DC,Graduated from,-,NA,No,No
Man,Straight,Hetero_male,29,"White, Other",OR,Graduated from,Other,and somewhat serious about it,No,No
Woman,Straight,Hetero_female,45,White,CA,NA,Christianity,but not too serious about it,No,No
Man,Straight,Hetero_male,43,Other,CA,Working on,Other,and laughing about it,No,No
Man,Straight,Hetero_male,45,White,FL,Graduated from,Judaism,NA,No,No
Man,Straight,Hetero_male,36,White,IN,Graduated from,-,NA,No,No
Man,Gay,Gay_male,31,White,KY,Graduated from,Agnosticism,NA,No,No
Man,Gay,Gay_male,23,Asian,OR,Working on,Other,and somewhat serious about it,No,No
Man,Straight,Hetero_male,28,NA,CA,Graduated from,Atheism,NA,No,No
Man,Straight,Hetero_male,41,White,Austria,Graduated from,Atheism,and very serious about it,No,No
Man,Straight,Hetero_male,33,"Asian, White",MI,Graduated from,Atheism,NA,No,No
